measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,102,United States of America,3,Both,22,All ages,410,Neoplasms,1,Number,1980,451711.3728270865,463715.3568805236,429850.26096705615
1,Deaths,102,United States of America,3,Both,22,All ages,410,Neoplasms,3,Rate,1980,196.52074164637514,201.7431734707687,187.00988543511895
1,Deaths,102,United States of America,3,Both,22,All ages,344,Neglected tropical diseases and malaria,1,Number,1980,125.93113238464557,136.1909300150903,115.01118851671632
1,Deaths,102,United States of America,3,Both,22,All ages,344,Neglected tropical diseases and malaria,3,Rate,1980,0.05478737313543774,0.059250982335395844,0.050036561894553286
1,Deaths,102,United States of America,3,Both,22,All ages,626,Musculoskeletal disorders,1,Number,1980,4875.554196126483,5017.673641292921,4627.440970183521
1,Deaths,102,United States of America,3,Both,22,All ages,626,Musculoskeletal disorders,3,Rate,1980,2.1211498850763912,2.1829801166060503,2.0132061889294017
1,Deaths,102,United States of America,3,Both,22,All ages,640,Other non-communicable diseases,1,Number,1980,36121.38113147571,36877.06716322133,34833.878146403935
1,Deaths,102,United States of America,3,Both,22,All ages,640,Other non-communicable diseases,3,Rate,1980,15.714903445582037,16.043670858456792,15.154764700536381
1,Deaths,102,United States of America,3,Both,22,All ages,955,HIV/AIDS and sexually transmitted infections,1,Number,1980,285.08407598360134,309.99684564119406,260.30816689835035
1,Deaths,102,United States of America,3,Both,22,All ages,955,HIV/AIDS and sexually transmitted infections,3,Rate,1980,0.12402816801629427,0.13486667300883873,0.11324920533947792
1,Deaths,102,United States of America,3,Both,22,All ages,956,Respiratory infections and tuberculosis,1,Number,1980,52334.97483156034,54919.07414366679,47658.82050917677
1,Deaths,102,United States of America,3,Both,22,All ages,956,Respiratory infections and tuberculosis,3,Rate,1980,22.76876051088409,23.89299413405976,20.734361178105956
1,Deaths,102,United States of America,3,Both,22,All ages,957,Enteric infections,1,Number,1980,726.9819424291267,763.1795585461955,683.5250296440126
1,Deaths,102,United States of America,3,Both,22,All ages,957,Enteric infections,3,Rate,1980,0.3162794631349326,0.3320275332369449,0.29737317641307587
1,Deaths,102,United States of America,3,Both,22,All ages,961,Other infectious diseases,1,Number,1980,5534.719090860907,5649.4734218873145,5372.950200107582
1,Deaths,102,United States of America,3,Both,22,All ages,961,Other infectious diseases,3,Rate,1980,2.407924984781593,2.4578497987159933,2.3375461006122924
1,Deaths,102,United States of America,3,Both,22,All ages,962,Maternal and neonatal disorders,1,Number,1980,24667.411886615628,25274.070102041565,24057.91270774545
1,Deaths,102,United States of America,3,Both,22,All ages,962,Maternal and neonatal disorders,3,Rate,1980,10.731760079704644,10.995691717456461,10.466592457479926
1,Deaths,102,United States of America,3,Both,22,All ages,973,Substance use disorders,1,Number,1980,9481.24887649979,9757.822601889555,9183.742901155594
1,Deaths,102,United States of America,3,Both,22,All ages,973,Substance use disorders,3,Rate,1980,4.124895172070088,4.245220842184003,3.995462754743612
